词语,全拼音,同形,词类,JLH
犁,li2,,v,1129
黎民,li2min2,,n,1640
黎明,li2ming2,,t,  85
篱笆,li2ba5,,n,1641
礼服,li3fu2,,n,1642
礼节,li3jie2,,n,1643
礼品,li3pin3,,n,1644
礼物,li3wu4,,n,1645
里,li3,,f,  26
里,li3,,q, 110
里边,li3bian5,,f,  27
里程碑,li3cheng2bei1,,n,1646
里面,li3mian4,,f,  28
里头,li3tou5,,f,  29
里应外合,li3ying4wai4he2,,i, 223
俚语,li3yu3,,n,1647
理,li3,,n,1648
理发,li3fa4,,v,1130
理解,li3jie3,,v,1131
理论,li3lun4,,n,1649
理想,li3xiang3,,a, 657
理想,li3xiang3,,n,1650
理由,li3you2,,n,1651
理直气壮,li3zhi2qi4zhuang4,,i, 224
鲤鱼,li3yu2,,n,1652
力,li4,,n,1653
力量,li4liang4,,n,1654
力学,li4xue2,,n,1655
力争,li4zheng1,,v,1132
力争上游,li4zheng1shang4you2,,i, 225
历次,li4ci4,,b,  81
历法,li4fa3,,n,1656
历经,li4jing1,,v,1133
历来,li4lai2,,d, 314
厉害,li4hai5,,a, 658
厉声,li4sheng1,,d, 315
厉行节约,li4xing2jie2yue1,,i, 226
立场,li4chang3,,n,1657
立春,li4chun1,,t,  86
立冬,li4dong1,,t,  87
立方,li4fang1,,q, 111
立方米,li4fang1mi3,,q, 112
立即,li4ji2,,d, 316
立刻,li4ke4,,d, 317
立秋,li4qiu1,,t,  88
立时,li4shi2,,d, 318
立式,li4shi4,,b,  82
立体,li4ti3,,b,  83
立体,li4ti3,,d, 319
立夏,li4xia4,,t,  89
立足点,li4zu2dian3,,n,1658
利害,li4hai4,,n,1659
利索,li4suo5,,a, 659
利息,li4xi1,,n,1660
利用,li4yong4,,v,1134
利于,li4yu2,,v,1135
例句,li4ju4,,n,1661
例如,li4ru2,,v,1136
例行公事,li4xing2gong1shi4,,i, 227
荔枝,li4zhi1,,n,1662
粒,li4,,q, 113
俩,lia3,,m,  42
连,lian2,,n,1663
连,lian2,,p,  39
连贯,lian2guan4,,a, 660
连结,lian2jie2,,v,1137
连连,lian2lian2,,d, 320
连忙,lian2mang2,,d, 321
连年,lian2nian2,,d, 322
连日,lian2ri4,,d, 323
连声,lian2sheng1,,d, 324
连锁反应,lian2suo3fan3ying4,,l,  47
连同,lian2tong2,,p,  40
连续剧,lian2xu4ju4,,n,1664
连夜,lian2ye4,,d, 325
连衣裙,lian2yi1qun2,,n,1665
联大,lian2da4,,j,  19
联合,lian2he2,,v,1138
联欢,lian2huan1,,v,1139
联络,lian2luo4,,v,1140
联盟,lian2meng2,,n,1666
联系,lian2xi4,,v,1141
联想,lian2xiang3,,v,1142
廉洁,lian2jie2,,a, 661
脸,lian3,,n,1667
脸色,lian3se4,,n,1668
脸型,lian3xing2,,n,1669
练,lian4,,v,1143
练习,lian4xi2,,n,1670
练习,lian4xi2,,v,1144
恋人,lian4ren2,,n,1671
链条,lian4tiao2,,n,1672
良师益友,liang2shi1yi4you3,,i, 228
良心,liang2xin1,,n,1673
良性,liang2xing4,,b,  84
凉,liang2,,a, 662
凉粉,liang2fen3,,n,1674
凉快,liang2kuai5,,a, 663
凉爽,liang2shuang3,,a, 664
凉丝丝,liang2si1si1,,z,  96
凉苏苏,liang2su1su1,,z,  97
凉席,liang2xi2,,n,1675
梁上君子,liang2shang4jun1zi3,,i, 229
粮食,liang2shi5,,n,1676
粮站,liang2zhan4,,n,1677
量,liang2,,v,1146
量杯,liang2bei1,,n,1681
两,liang3,,m,  43
两,liang3,,q, 114
两边,liang3bian1,,f,  30
两口子,liang3kou3zi5,,n,1678
两旁,liang3pang2,,f,  31
两用衫,liang3yong4shan1,,n,1679
两者,liang3zhe3,,r,  38
亮,liang4,,a, 665
亮光,liang4guang1,,n,1680
亮晶晶,liang4jing1jing1,,z,  98
亮堂,liang4tang5,,a, 666
谅必,liang4bi4,,d, 326
谅解,liang4jie3,,v,1145
辆,liang4,,q, 115
量词,liang4ci2,,n,1682
量力而行,liang4li4er2xing2,,i, 230
辽阔,liao2kuo4,,a, 667
疗效,liao2xiao4,,n,1683
聊,liao2,,v,1147
潦草,liao3cao3,,a, 647
了,liao3,1,v,1148
了,liao3,2,v,1149
了解,liao3jie3,,v,1150
了却,liao3que4,,v,1151
了如指掌,liao3ru2zhi3zhang3,,i, 231
料到,liao4dao4,,v,1152
料想,liao4xiang3,,v,1153
料子,liao4zi5,,n,1684
裂,lie3,,v,1155
列,lie4,,q, 116
列车,lie4che1,,n,1685
列入,lie4ru4,,v,1154
劣等,lie4deng3,,b,  85
劣势,lie4shi4,,n,1686
劣质,lie4zhi4,,b,  86
烈,lie4,,a, 668
烈火,lie4huo3,,n,1687
烈马,lie4ma3,,n,1688
烈性,lie4xing4,,b,  87
猎枪,lie4qiang1,,n,1689
裂缝,lie4feng4,,n,1690
邻近,lin2jin4,,v,1156
邻居,lin2ju1,,n,1691
林区,lin2qu1,,n,1692
临,lin2,,p,  41
临场,lin2chang3,,d, 327
临床,lin2chuang2,,b,  88
临床,lin2chuang2,,d, 328
临界,lin2jie4,,b,  89
临时,lin2shi2,,d, 329
临时工,lin2shi2gong1,,n,1693
临危不惧,lin2wei1bu4ju4,,i, 232
淋漓尽致,lin2li2jin4zhi4,,i, 233
琳,lin2,,x,   3
磷肥,lin2fei2,,n,1694
磷矿,lin2kuang4,,n,1695
鳞,lin2,,n,1696
凛冽,lin3lie4,,a, 669
吝啬,lin4se4,,a, 670
吝惜,lin4xi1,,v,1157
伶俐,ling2li4,,a, 671
灵便,ling2bian5,,a, 672
灵感,ling2gan3,,n,1697
灵魂,ling2hun2,,n,1698
灵活,ling2huo2,,a, 673
灵敏,ling2min3,,a, 674
灵巧,ling2qiao3,,a, 675
灵验,ling2yan4,,a, 676
凌晨,ling2chen2,,t,  90
凌乱,ling2luan4,,a, 677
铃声,ling2sheng1,,n,1699
菱角,ling2jiao3,,n,1700
零,ling2,,m,  44
零点,ling2dian3,,t,  91
零花钱,ling2hua1qian2,,n,1701
零件,ling2jian4,,n,1702
零零星星,ling2ling2xing1xing1,,z,  99
零乱,ling2luan4,,a, 678
零散,ling2san3,,a, 679
零食,ling2shi2,,n,1703
零售,ling2shou4,,v,1158
零碎,ling2sui4,,a, 680
零头,ling2tou2,,n,1704
领,ling3,,v,1159
领带,ling3dai4,,n,1705
领导,ling3dao3,,n,1706
领导,ling3dao3,,v,1160
领会,ling3hui4,,v,1161
领取,ling3qu3,,v,1162
领土,ling3tu3,,n,1707
领悟,ling3wu4,,v,1163
令人神往,ling4ren2shen2wang3,,i, 234
令尊,ling4zun1,,n,1708
另,ling4,,d, 330
另外,ling4wai4,,c,  50
另外,ling4wai4,,d, 331
另行,ling4xing2,,d, 332
溜光,liu1guang1,,z, 100
溜走,liu1zou3,,v,1164
刘,liu2,,g,  10
浏览,liu2lan3,,v,1165
流,liu2,,v,1166
流畅,liu2chang4,,a, 681
流程,liu2cheng2,,n,1709
流传,liu2chuan2,,v,1167
流动,liu2dong4,,v,1168
流芳百世,liu2fang1bai3shi4,,i, 235
流浪,liu2lang4,,v,1169
流利,liu2li4,,a, 682
流落,liu2luo4,,v,1170
流氓,liu2mang2,,n,1710
流失,liu2shi1,,v,1171
流食,liu2shi2,,n,1711
流水,liu2shui3,,n,1712
流星,liu2xing1,,n,1713
流行,liu2xing2,,a, 683
流行,liu2xing2,,v,1172
流言,liu2yan2,,n,1714
流言蜚语,liu2yan2fei1yu3,,i, 236
留,liu2,,v,1173
留给,liu2gei3,,v,1174
留恋,liu2lian4,,v,1175
留心,liu2xin1,,v,1176
留言,liu2yan2,,n,1715
硫磺,liu2huang2,,n,1716
硫酸,liu2suan1,,n,1717
柳絮,liu3xu4,,n,1718
六,liu4,,m,  45
龙,long2,,n,1719
龙卷风,long2juan3feng1,,n,1720
龙腾虎跃,long2teng2hu3yue4,,i, 237
龙须面,long2xu1mian4,,n,1721
龙舟,long2zhou1,,n,1722
笼子,long2zi5,,n,1723
隆重,long2zhong4,,a, 685
笼统,long3tong3,,a, 684
垄断,long3duan4,,v,1177
楼,lou2,,n,1724
楼房,lou2fang2,,n,1725
搂抱,lou3bao4,,v,1178
漏,lou4,,v,1179
漏斗,lou4dou3,,n,1726
露,lou4,A,v,1180
芦苇,lu2wei3,,n,1728
炉灰,lu2hui1,,n,1729
炉火纯青,lu2huo3chun2qing1,,i, 238
炉子,lu2zi5,,n,1730
卤菜,lu3cai4,,n,1731
鲁莽,lu3mang3,,a, 686
露,lu4,B,v,1181
露出,lu4chu1,,v,1182
露骨,lu4gu3,,a, 687
露水,lu4shui5,,n,1727
陆上,lu4shang5,,s,  37
陆续,lu4xu4,,d, 333
录取,lu4qu3,,v,1183
录像机,lu4xiang4ji1,,n,1732
录音,lu4yin1,,v,1184
录音机,lu4yin1ji1,,n,1733
鹿,lu4,,n,1734
路,lu4,,n,1735
路边,lu4bian1,,s,  38
路费,lu4fei4,,n,1736
路过,lu4guo4,,v,1185
路口,lu4kou3,,n,1737
路面,lu4mian4,,n,1738
路上,lu4shang5,,s,  39
路线,lu4xian4,,n,1739
孪生,luan2sheng1,,b,  90
卵石,luan3shi2,,n,1752
乱,luan4,,a, 689
乱哄哄,luan4hong1hong1,,z, 103
乱糟糟,luan4zao1zao1,,z, 104
轮,lun2,1,q, 117
轮,lun2,2,q, 118
轮番,lun2fan1,,d, 339
轮换,lun2huan4,,v,1190
轮廓,lun2kuo4,,n,1753
轮休,lun2xiu1,,v,1191
论据,lun4ju4,,n,1754
论述,lun4shu4,,v,1192
论文,lun4wen2,,n,1755
萝,luo2,,x,   4
萝卜,luo2bo5,,n,1756
逻辑,luo2ji2,,n,1757
骡子,luo2zi5,,n,1758
螺丝,luo2si1,,n,1759
螺旋桨,luo2xuan2jiang3,,n,1760
裸体,luo3ti3,,b,  91
骆驼,luo4tuo5,,n,1761
落后,luo4hou4,,a, 690
落荒而逃,luo4huang1er2tao2,,i, 242
落实,luo4shi2,,v,1193
落选,luo4xuan3,,v,1194
驴,lv2,,n,1740
驴年马月,lv2nian2ma3yue4,,i, 239
旅店,lv3dian4,,n,1741
旅馆,lv3guan3,,n,1742
旅客,lv3ke4,,n,1743
旅途,lv3tu2,,n,1744
旅行,lv3xing2,,v,1186
旅游,lv3you2,,v,1187
铝,lv3,,n,1745
屡,lv3,,d, 334
屡次,lv3ci4,,d, 335
屡教不改,lv3jiao4bu4gai3,,i, 240
屡屡,lv3lv3,,d, 336
履历,lv3li4,,n,1746
律师,lv4shi1,,n,1747
绿,lv4,,a, 688
绿茶,lv4cha2,,n,1748
绿豆,lv4dou4,,n,1749
绿化,lv4hua4,,v,1188
绿色,lv4se4,,n,1750
绿莹莹,lv4ying1ying1,,z, 101
绿油油,lv4you1you1,,z, 102
绿洲,lv4zhou1,,n,1751
掠夺,lve4duo2,,v,1189
略,lve4,,d, 337
略微,lve4wei1,,d, 338
略知一二,lve4zhi1yi1er4,,i, 241
妈妈,ma1ma5,,n,1762
麻痹,ma2bi4,,v,1195
麻痹大意,ma2bi4da4yi4,,i, 243
麻袋,ma2dai4,,n,1763
麻烦,ma2fan5,,v,1196
麻纺,ma2fang3,,b,  92
麻将,ma2jiang4,,n,1764
麻利,ma2li5,,a, 691
麻木,ma2mu4,,a, 692
麻绳,ma2sheng2,,n,1765
麻酥酥,ma2su1su1,,z, 105
马,ma3,,n,1766
马车,ma3che1,,n,1767
马达,ma3da2,,n,1768
马大哈,ma3da4ha1,,n,1769
马虎,ma3hu5,,a, 693
马克,ma3ke4,,n,1770
马力,ma3li4,,q, 119
马列,ma3lie4,,j,  20
马路,ma3lu4,,n,1771
马马虎虎,ma3ma5hu1hu1,,z, 106
马匹,ma3pi3,,n,1772
马日事变,ma3ri4shi4bian4,,l,  48
马上,ma3shang4,,d, 340
马蹄铁,ma3ti2tie3,,n,1773
马戏,ma3xi4,,n,1774
玛瑙,ma3nao3,,n,1775
码,ma3,1,q, 120
码,ma3,2,q, 121
蚂蚁,ma3yi3,,n,1776
骂,ma4,,v,1197
吗,ma5,,y,  11
嘛,ma5,1,y,  12
嘛,ma5,2,y,  13
埋,mai2,,v,1198
埋伏,mai2fu2,,v,1199
埋头苦干,mai2tou2ku3gan4,,i, 244
买,mai3,,v,1201
买方,mai3fang1,,n,1777
买卖,mai3mai5,,n,1778
麦克风,mai4ke4feng1,,n,1779
麦子,mai4zi5,1,n,1780
麦子,mai4zi5,2,n,1781
卖,mai4,1,v,1202
卖,mai4,2,v,1203
卖弄,mai4nong4,,v,1204
卖身契,mai4shen1qi4,,n,1782
脉搏,mai4bo2,,n,1783
埋怨,man2yuan4,,v,1200
蛮,man2,,d, 341
蛮横,man2heng4,,a, 694
蛮横无理,man2heng4wu2li3,,i, 245
瞒,man2,,v,1205
满,man3,,a, 695
满城风雨,man3cheng2feng1yu3,,i, 246
满满当当,man3man5dang1dang1,,z, 107
满面春风,man3mian4chun1feng1,,i, 247
满堂红,man3tang2hong2,,l,  49
满心,man3xin1,,d, 342
满园春色,man3yuan2chun1se4,,i, 248
满足,man3zu2,,v,1206
满族,man3zu2,,n,1784
慢,man4,,a, 697
慢慢,man4man1,,d, 343
慢慢吞吞,man4man5tun1tun1,,z, 108
慢慢悠悠,man4man5you1you1,,z, 109
慢吞吞,man4tun1tun1,,z, 110
慢性,man4xing4,,b,  93
漫不经心,man4bu4jing1xin1,,i, 249
漫长,man4chang2,,a, 696
漫画,man4hua4,,n,1785
忙,mang2,,a, 698
忙碌,mang2lu4,,a, 699
忙忙碌碌,mang2mang2lu4lu4,,z, 111
忙于,mang2yu2,,v,1207
芒果,mang2guo3,,n,1786
芒种,mang2zhong4,,t,  92
盲从,mang2cong2,,v,1208
盲目,mang2mu4,,a, 700
盲人,mang2ren2,,n,1787
莽撞,mang3zhuang4,,a, 701
猫,mao1,,n,1788
毛,mao2,,n,1789
毛糙,mao2cao5,,a, 702
毛纺,mao2fang3,,b,  94
毛骨悚然,mao2gu3song3ran2,,i, 250
毛巾,mao2jin1,,n,1790
毛茸茸,mao2rong1rong1,,z, 112
毛手毛脚,mao2shou3mao2jiao3,,z, 113
毛毯,mao2tan3,,n,1791
毛线,mao2xian4,,n,1792
毛衣,mao2yi1,,n,1793
矛盾,mao2dun4,,a, 703
矛盾,mao2dun4,,n,1794
茅草,mao2cao3,,n,1795
茅屋,mao2wu1,,n,1796
茂密,mao4mi4,,a, 704
冒充,mao4chong1,,v,1209
冒号,mao4hao4,,n,1797
冒失,mao4shi5,,a, 705
冒险,mao4xian3,,v,1210
贸然,mao4ran2,,d, 344
帽子,mao4zi5,,n,1798
貌似,mao4si4,,v,1211
没,mei2,,d, 345
没,mei2,,v,1212
没趣,mei2qu4,,a, 706
没心没肺,mei2xin1mei2fei4,,l,  50
没有,mei2you3,,d, 346
枚,mei2,,q, 122
玫瑰,mei2gui1,,n,1799
眉飞色舞,mei2fei1se4wu3,,i, 251
眉毛,mei2mao5,,n,1800
梅花,mei2hua1,1,n,1801
梅花,mei2hua1,2,n,1802
媒介,mei2jie4,,n,1803
煤,mei2,,n,1804
煤矿,mei2kuang4,,n,1805
煤气,mei2qi4,,n,1806
煤油,mei2you2,,n,1807
每,mei3,,r,  39
每当,mei3dang1,,p,  42
每每,mei3mei3,,d, 347
美,mei3,,a, 707
美德,mei3de2,,n,1808
美好,mei3hao3,,a, 708
美化,mei3hua4,,v,1214
美景,mei3jing3,,n,1809
美丽,mei3li4,,a, 709
美满,mei3man3,,a, 710
美妙,mei3miao4,,a, 711
美术,mei3shu4,,n,1810
美学,mei3xue2,,n,1811
美洲,mei3zhou1,,n,1812
美滋滋,mei3zi1zi1,,z, 114
妹妹,mei4mei5,,n,1813
魅力,mei4li4,,n,1814
闷,men1,,a, 712
门,men2,,n,1815
门,men2,1,q, 123
门,men2,2,q, 124
门窗,men2chuang1,,n,1816
门槛,men2kan3,,n,1817
门口,men2kou3,,s,  40
门票,men2piao4,,n,1818
门前,men2qian2,,s,  41
门市部,men2shi4bu4,,n,1819
门卫,men2wei4,,n,1820
闷闷不乐,men4men4bu4le4,,i, 252
们,men5,,k,   4
萌发,meng2fa1,,v,1215
朦胧,meng2long2,,a, 713
蒙受,meng2shou4,,v,1217
猛,meng3,,a, 714
猛不防,meng3bu5fang2,,d, 348
猛地,meng3de5,,d, 349
猛攻,meng3gong1,,v,1216
猛虎,meng3hu3,,n,1821
猛烈,meng3lie4,,a, 715
猛然,meng3ran2,,d, 350
猛士,meng3shi4,,n,1822
蒙族,meng3zu2,,n,1823
梦,meng4,,n,1824
梦乡,meng4xiang1,,n,1825
梦想,meng4xiang3,,v,1218
弥补,mi2bu3,,v,1219
弥天大谎,mi2tian1da4huang3,,i, 253
迷,mi2,,v,1220
迷宫,mi2gong1,,n,1826
迷惑,mi2huo4,,v,1221
迷人,mi2ren2,,a, 716
迷惘,mi2wang3,,a, 717
迷信,mi2xin4,,v,1222
谜,mi2,,n,1827
谜语,mi2yu3,,n,1828
米,mi3,,n,1829
米,mi3,,q, 125
秘密,mi4mi4,,a, 718
秘密,mi4mi4,,n,1830
秘书,mi4shu1,,n,1831
密封,mi4feng1,,v,1223
密集,mi4ji2,,a, 719
密码,mi4ma3,,n,1832
密密麻麻,mi4mi5ma2ma2,,z, 115
密谋,mi4mou2,,v,1224
密切,mi4qie4,,a, 720
密信,mi4xin4,,n,1833
蜜,mi4,,n,1834
蜜蜂,mi4feng1,,n,1835
棉布,mian2bu4,,n,1836
棉纺,mian2fang3,,b,  95
棉花,mian2hua5,1,n,1837
棉花,mian2hua5,2,n,1838
棉衣,mian2yi1,,n,1839
勉励,mian3li4,,v,1225
勉勉强强,mian3mian5qiang1qiang1,,z, 116
勉强,mian3qiang3,,a, 721
腼腆,mian3tian3,,a, 722
面,mian4,,n,1840
面,mian4,,q, 126
面黄肌瘦,mian4huang2ji1shou4,,i, 254
面孔,mian4kong3,,n,1841
面临,mian4lin2,,v,1226
面貌,mian4mao4,,n,1842
面目全非,mian4mu4quan2fei1,,i, 255
面色,mian4se4,,n,1843
面食,mian4shi2,,n,1844
面子,mian4zi5,,n,1845
苗条,miao2tiao5,,a, 723
苗族,miao2zu2,,n,1846
描绘,miao2hui4,,v,1227
描述,miao2shu4,,v,1228
瞄准,miao2zhun3,,v,1229
秒,miao3,,q, 127
秒表,miao3biao3,,n,1847
秒钟,miao3zhong1,,q, 128
渺茫,miao3mang2,,a, 724
渺小,miao3xiao3,,a, 725
藐视,miao3shi4,,v,1230
妙,miao4,,a, 726
妙趣横生,miao4qu4heng2sheng1,,i, 256
灭,mie4,,v,1231
民办,min2ban4,,b,  96
民歌,min2ge1,,n,1848
民事,min2shi4,,b,  97
民俗,min2su2,,n,1849
民心,min2xin1,,n,1850
民主,min2zhu3,,a, 727
民主革命,min2zhu3ge2ming4,,l,  51
民族,min2zu2,,n,1851
敏感,min3gan3,,a, 728
敏捷,min3jie2,,a, 729
敏锐,min3rui4,,a, 730
名,ming2,,q, 129
名不虚传,ming2bu4xu1chuan2,,i, 257
名称,ming2cheng1,,n,1852
名单,ming2dan1,,n,1853
名额,ming2e2,,n,1854
名贵,ming2gui4,,a, 731
名将,ming2jiang4,,n,1855
名列前茅,ming2lie4qian2mao2,,i, 258
名目,ming2mu4,,n,1856
名片,ming2pian4,,n,1857
名声,ming2sheng1,,n,1858
名望,ming2wang4,,n,1859
名誉,ming2yu4,,n,1860
名正言顺,ming2zheng4yan2shun4,,i, 259
明白,ming2bai5,,a, 732
明白,ming2bai5,,v,1232
明辨是非,ming2bian4shi4fei1,,i, 260
明达,ming2da2,,a, 733
明代,ming2dai4,,t,  93
明矾,ming2fan2,,n,1861
明晃晃,ming2huang1huang1,,z, 117
明快,ming2kuai4,,a, 734
明朗,ming2lang3,,a, 735
明亮,ming2liang4,,a, 736
明媚,ming2mei4,,a, 737
明明,ming2ming2,,d, 351
明目张胆,ming2mu4zhang1dan3,,i, 261
明年,ming2nian2,,t,  94
明确,ming2que4,,a, 738
明确,ming2que4,,v,1233
明日,ming2ri4,,t,  95
明天,ming2tian1,,t,  96
明晚,ming2wan3,,t,  97
明晰,ming2xi1,,a, 739
明显,ming2xian3,,a, 740
明信片,ming2xin4pian4,,n,1862
明知故犯,ming2zhi1gu4fan4,,i, 262
明智,ming2zhi4,,a, 741
冥思苦想,ming2si1ku3xiang3,,i, 263
命令,ming4ling4,,n,1863
命令,ming4ling4,,v,1234
谬误,miu4wu4,,n,1864
摸,mo1,,v,1235
摸索,mo1suo3,,v,1236
摸透,mo1tou4,,v,1237
模范,mo2fan4,,n,1865
模仿,mo2fang3,,v,1238
模糊,mo2hu5,,a, 742
模模糊糊,mo2mo5hu1hu1,,z, 118
模拟,mo2ni3,,v,1239
模型,mo2xing2,,n,1866
摩擦,mo2ca1,,v,1240
摩登,mo2deng1,,a, 743
摩托,mo2tuo1,,n,1867
磨练,mo2lian4,,v,1241
磨嘴皮,mo2zui3pi2,,l,  52
蘑菇,mo2gu5,,n,1868
魔术,mo2shu4,,n,1869
没收,mo4shou1,,v,1213
末,mo4,,f,  32
末期,mo4qi1,,f,  33
末尾,mo4wei3,,n,1870
沫儿,mor4,,n,1871
茉莉,mo4li4,1,n,1872
茉莉,mo4li4,2,n,1873
陌生,mo4sheng1,,a, 744
莫,mo4,,d, 352
莫不,mo4bu4,,d, 353
莫非,mo4fei1,,d, 354
莫明其妙,mo4ming2qi2miao4,,i, 264
寞,mo4,,x,   5
蓦地,mo4di4,,d, 355
蓦然,mo4ran2,,d, 356
墨,mo4,,n,1874
墨守陈规,mo4shou3chen2gui1,,i, 265
墨水,mo4shui3,,n,1875
默默,mo4mo4,,d, 357
默契,mo4qi4,,a, 745
默认,mo4ren4,,v,1242
默写,mo4xie3,,v,1243
谋划,mou2hua4,,v,1244
谋求,mou2qiu2,,v,1245
某,mou3,,r,  40
某个,mou3ge4,,r,  41
某些,mou3xie1,,r,  42
母女,mu3nv3,,n,1876
母系,mu3xi4,,b,  98
母校,mu3xiao4,,n,1877
母语,mu3yu3,,n,1878
亩,mu3,,q, 130
牡丹,mu3dan5,1,n,1879
牡丹,mu3dan5,2,n,1880
木板,mu4ban3,,n,1881
木材,mu4cai2,,n,1882
木耳,mu4er3,,n,1883
木匠,mu4jiang4,,n,1884
木块,mu4kuai4,,n,1885
木偶,mu4ou3,,n,1886
木头,mu4tou5,,n,1887
木头疙瘩,mu4tou5ge1da5,,l,  53
目,mu4,,g,  11
目标,mu4biao1,,n,1888
目不忍睹,mu4bu4ren3du3,,i, 266
目不转睛,mu4bu4zhuan3jing1,,i, 267
目的,mu4di4,,n,1889
目光,mu4guang1,,n,1890
目录,mu4lu4,,n,1891
目前,mu4qian2,,t,  98
目送,mu4song4,,v,1246
牧歌,mu4ge1,,n,1892
牧童,mu4tong2,,n,1893
墓碑,mu4bei1,,n,1894
幕,mu4,,q, 131
幕后,mu4hou4,,s,  42
暮年,mu4nian2,,t,  99
暮色,mu4se4,,n,1895
拿,na2,1,v,1247
拿,na2,2,v,1248
哪,na3,,r,  43
哪边,na3bian5,,r,  44
哪儿,nar3,,r,  45
哪个,na3ge5,,r,  46
哪里,na3li5,,r,  47
哪些,na3xie1,,r,  48
哪样,na3yang4,,r,  49
那,na4,,r,  50
那边,na4bian1,,r,  51
那儿,nar4,,r,  52
那个,na4ge5,,r,  53
那会儿,na4huir4,,r,  54
那里,na4li5,,r,  55
那么,na4me5,,c,  51
那么,na4me5,,r,  56
那么些,na4me5xie1,,r,  57
那么样,na4me5yang4,,r,  58
那时,na4shi2,,r,  59
那些,na4xie1,,r,  60
那样,na4yang4,,r,  61
奶,nai3,,n,1904
奶粉,nai3fen3,,n,1905
奶糖,nai3tang2,,n,1906
奶油,nai3you2,,n,1907
耐寒,nai4han2,,a, 746
耐磨,nai4mo2,,a, 747
耐热,nai4re4,,a, 748
耐人寻味,nai4ren2xun2wei4,,i, 268
耐心,nai4xin1,,a, 749
耐性,nai4xing4,,n,1908
耐用,nai4yong4,,a, 750
男,nan2,,b, 100
男人,nan2ren2,,n,1909
男式,nan2shi4,,b, 101
男性,nan2xing4,,n,1910
男子汉,nan2zi3han4,,n,1911
南,nan2,,f,  35
南边,nan2bian5,,f,  36
南部,nan2bu4,,f,  37
南方,nan2fang1,,f,  38
南方,nan2fang1,,s,  44
南瓜,nan2gua1,1,n,1912
南瓜,nan2gua1,2,n,1913
南国,nan2guo2,,s,  45
南麓,nan2lu4,,f,  39
南面,nan2mian4,,f,  40
南征北战,nan2zheng1bei3zhan4,,i, 269
难,nan2,,a, 751
难道,nan2dao4,,d, 358
难得,nan2de2,,a, 752
难怪,nan2guai4,,d, 359
难过,nan2guo4,,a, 753
难堪,nan2kan1,,a, 754
难受,nan2shou4,,a, 755
难题,nan2ti2,,n,1915
难听,nan2ting1,,a, 756
难忘,nan2wang4,,a, 757
难为情,nan2wei2qing2,,a, 758
难闻,nan2wen2,,a, 759
难民,nan4min2,,n,1914
脑袋,nao3dai5,,n,1916
脑筋,nao3jin1,,n,1917
闹哄哄,nao4hong1hong1,,z, 119
闹剧,nao4ju4,,n,1918
闹市,nao4shi4,,n,1919
闹笑话,nao4xiao4hua5,,l,  54
闹钟,nao4zhong1,,n,1920
呢,ne5,1,y,  14
呢,ne5,2,y,  15
呢,ne5,3,y,  16
呢,ne5,4,y,  17
内,nei4,,f,  34
内地,nei4di4,,s,  43
内阁,nei4ge2,,n,1896
内行,nei4hang2,,a, 762
内行,nei4hang2,,n,1901
内疚,nei4jiu4,,a, 760
内科,nei4ke1,,n,1897
内幕,nei4mu4,,n,1898
内情,nei4qing2,,n,1899
内容,nei4rong2,,n,1900
内向,nei4xiang4,,a, 761
内向型,nei4xiang4xing2,,b,  99
内销,nei4xiao1,,v,1249
内衣,nei4yi1,,n,1902
内战,nei4zhan4,,n,1903
嫩,nen4,,a, 763
嫩绿,nen4lv4,,b, 102
能,neng2,,v,1250
能干,neng2gan4,,a, 764
能够,neng2gou4,,v,1251
能力,neng2li4,,n,1921
能量,neng2liang4,,n,1922
能说会道,neng2shuo1hui4dao4,,i, 270
能源,neng2yuan2,,n,1923
能者为师,neng2zhe3wei2shi1,,i, 271
尼龙,ni2long2,,n,1924
泥,ni2,,n,1925
泥浆,ni2jiang1,,n,1926
泥鳅,ni2qiu1,,n,1927
泥沙,ni2sha1,,n,1928
泥水,ni2shui3,,n,1929
泥土,ni2tu3,,n,1930
你,ni3,,r,  62
你们,ni3men5,,r,  63
拟定,ni3ding4,,v,1252
逆境,ni4jing4,,n,1931
年,nian2,,q, 132
年初,nian2chu1,,t, 100
年代,nian2dai4,,n,1932
年底,nian2di3,,t, 101
年富力强,nian2fu4li4qiang2,,i, 272
年糕,nian2gao1,,n,1933
年画,nian2hua4,,n,1934
年景,nian2jing3,,n,1935
年龄,nian2ling2,,n,1936
年轻,nian2qing1,,a, 765
年终,nian2zhong1,,t, 102
黏米,nian2mi3,,n,1937
黏液,nian2ye4,,n,1938
粘土,nian2tu3,,n,3314
廿,nian4,,m,  46
念叨,nian4dao5,,v,1253
念头,nian4tou5,,n,1939
娘,niang2,,n,1940
酿成,niang4cheng2,,v,1254
鸟,niao3,,n,1941
鸟类,niao3lei4,,n,1942
尿布,niao4bu4,,n,1943
捏造,nie1zao4,,v,1255
您,nin2,,r,  64
宁静,ning2jing4,,a, 766
宁死不屈,ning2si3bu4qu1,,i, 274
柠檬,ning2meng2,1,n,1944
柠檬,ning2meng2,2,n,1945
凝聚,ning2ju4,,v,1256
凝视,ning2shi4,,v,1257
宁可,ning4ke3,,c,  52
宁肯,ning4ken3,,c,  53
宁缺毋滥,ning4que1wu2lan4,,i, 273
宁愿,ning4yuan4,,c,  54
牛,niu2,,n,1946
牛顿,niu2dun4,,q, 133
